Country Rank,Country / Territory,CPI 2010 Score,Surveys Used,Standard Deviation,Minimum score,Maximum score,90% Confidence Interval (Lower bound),90% Confidence Interval (Higher bound),ADB 2009,AfDB 2009,BF 2009,EIU 2010,FH 2010,GI 2010,IMD 2009,IMD 2010,PERC2009,PERC2010,WB 2009,WEF 2009,WEF 2010
1,Denmark,9.3,6,0.2,8.9,9.5,9.1,9.4,,,,8.9,,9.2,9.5,9.5,,,,9.5,9.2
1,New Zealand,9.3,6,0.2,8.9,9.5,9.2,9.5,,,,8.9,,9.2,9.5,9.5,,,,9.5,9.5
1,Singapore,9.3,9,0.2,8.9,9.5,9.2,9.4,,,9.3,8.9,,9.2,9.3,9.2,9.3,9.4,,9.3,9.5
4,Finland,9.2,6,0.2,8.9,9.5,9.1,9.3,,,,8.9,,9.2,9.5,9.4,,,,9.2,9.1
4,Sweden,9.2,6,0.2,8.9,9.5,9.1,9.4,,,,8.9,,9.2,9.2,9.3,,,,9.5,9.4
6,Canada,8.9,6,0.3,8.4,9.2,8.7,9,,,,8.9,,9.2,8.9,8.8,,,,8.4,8.9
7,Netherlands,8.8,6,0.3,8.5,9.2,8.7,9,,,,8.9,,9.2,9,8.9,,,,8.6,8.5
8,Australia,8.7,8,0.6,7.5,9.2,8.3,9,,,,8.9,,9.2,9.2,9.1,8.4,8.9,,7.5,8.3
8,Switzerland,8.7,6,0.7,7.4,9.1,8.3,9.1,,,,8.9,,7.4,9.1,9.1,,,,8.9,9
10,Norway,8.6,6,0.7,7.4,9.3,8.1,9,,,,8.9,,7.4,8.1,8.4,,,,9.1,9.3
11,Iceland,8.5,5,1.1,6.8,9.2,7.7,9.2,,,,6.8,,9.2,,7.9,,,,9.2,9.1
11,Luxembourg,8.5,5,0.6,7.4,9,8,8.9,,,,,,7.4,8.6,9,,,,9,8.4
13,Hong Kong,8.4,8,0.5,7.4,8.9,8.1,8.7,,,,8.9,,7.4,8.4,8.2,8.9,8.4,,7.9,8.9
14,Ireland,8,6,0.5,7.4,8.9,7.7,8.3,,,,8.9,,7.4,7.9,8,,,,7.9,8
15,Austria,7.9,6,0.7,6.8,8.9,7.4,8.4,,,,6.8,,7.4,8.1,8.9,,,,8.4,7.9
15,Germany,7.9,6,0.6,7.2,8.9,7.5,8.3,,,,8.9,,7.4,7.5,8.1,,,,8.1,7.2
17,Barbados,7.8,4,0.9,6.8,8.9,7.1,8.5,,,,8.9,,7.4,,,,,,6.8,8.1
17,Japan,7.8,8,0.6,6.8,8.8,7.5,8.2,,,,6.8,,7.4,7.5,8.5,7.5,7.7,,8.1,8.8
19,Qatar,7.7,7,1.6,4.5,9.2,6.6,8.6,,,4.5,6.8,,9.2,8.4,8.3,,,,9.1,7.6
20,United Kingdom,7.6,6,0.5,6.8,8.2,7.3,7.9,,,,6.8,,7.4,7.9,7.7,,,,7.5,8.2
21,Chile,7.2,7,0.3,6.8,7.7,7,7.4,,,7,6.8,,7.4,6.9,7.3,,,,7.1,7.7
22,Belgium,7.1,6,0.2,6.8,7.4,6.9,7.2,,,,6.8,,7.4,7.1,6.9,,,,7.1,6.9
22,United States,7.1,8,1.1,5.7,8.9,6.5,7.7,,,,8.9,,7.4,6.8,6.7,7.5,7.9,,5.7,5.7
24,Uruguay,6.9,5,0.4,6.2,7.4,6.5,7.1,,,7,6.8,,7.4,,,,,,6.2,6.7
25,France,6.8,6,0.6,5.8,7.5,6.4,7.2,,,,6.8,,5.8,7.5,7.2,,,,6.7,6.9
26,Estonia,6.5,8,0.7,5.1,7.1,6.1,6.8,,,7,5.1,6.8,5.8,7.1,6.8,,,,7.1,6.3
27,Slovenia,6.4,8,0.9,5,7.4,5.9,6.8,,,6.7,6.8,6.8,7.4,6.2,5,,,,6.9,5.2
28,Cyprus,6.3,4,0.4,5.8,6.8,6,6.6,,,,6.8,,5.8,,,,,,6.1,6.3
28,United Arab Emirates,6.3,5,1.3,4.9,7.5,5.4,7.3,,,4.9,5.1,,7.4,,,,,,7.5,6.8
30,Israel,6.1,6,0.7,5.1,7.2,5.7,6.6,,,,5.1,,5.8,6.7,6,,,,7.2,6
30,Spain,6.1,6,0.6,5.3,6.8,5.7,6.5,,,,6.8,,5.8,6.6,6.3,,,,5.6,5.3
32,Portugal,6,6,0.9,5,7.4,5.4,6.7,,,,6.8,,7.4,5.3,5,,,,6,5.6
33,Botswana,5.8,6,0.6,5.2,6.8,5.4,6.2,,5.6,6,6.8,,5.8,,,,,,5.2,5.3
33,Puerto Rico,5.8,4,0.7,5.2,6.8,5.3,6.4,,,,6.8,,5.8,,,,,,5.5,5.2
33,Taiwan,5.8,9,0.7,5.1,7.1,5.5,6.2,,,6.7,5.1,,5.8,5.8,7.1,5.2,5.4,,5.7,5.8
36,Bhutan,5.7,4,0.7,5.1,6.6,5.1,6.2,5.1,,5.2,,,5.8,,,,,6.6,,
37,Malta,5.6,3,0.3,5.3,5.8,5.3,5.8,,,,,,5.8,,,,,,5.3,5.5
38,Brunei,5.5,3,0.7,4.7,6.1,4.7,6.1,,,,,,4.7,,,,,,6.1,5.7
39,Korea (South),5.4,9,0.5,4.6,6,5.1,5.7,,,6,5.1,,4.7,5.7,5.8,5.8,5.6,,5.2,4.6
39,Mauritius,5.4,6,0.8,4.7,6.8,4.9,5.9,,4.8,5.6,6.8,,4.7,,,,,,5.2,5.2
41,Costa Rica,5.3,5,1,4.7,6.8,4.7,6,,,5.6,6.8,,4.7,,,,,,4.7,4.7
41,Oman,5.3,5,1.6,3.1,7.1,4.1,6.4,,,3.1,5.1,,4.7,,,,,,6.5,7.1
41,Poland,5.3,8,0.4,4.7,5.8,5,5.5,,,5.6,5.1,5.1,5.8,4.9,4.7,,,,5.8,5.1
44,Dominica,5.2,3,0.6,4.7,5.8,4.7,5.8,,,,5.1,,5.8,,,,,4.7,,
45,Cape Verde,5.1,4,1.3,3.4,6.6,4.1,6.1,,5.6,,,,3.4,,,,,6.6,,5
46,Lithuania,5,8,1,3.4,6.8,4.4,5.5,,,5.6,6.8,4.8,3.4,4.9,5.1,,,,4.7,4.5
46,Macau,5,3,1.4,3.4,5.8,3.4,5.8,,,,,,3.4,,,5.7,5.8,,,
48,Bahrain,4.9,5,1.2,3.1,5.9,4.1,5.7,,,3.1,5.1,,4.7,,,,,,5.9,5.9
49,Seychelles,4.8,3,1.9,3,6.8,3,6.8,,3,,6.8,,4.7,,,,,,,
50,Hungary,4.7,8,1.4,2.3,6.8,3.9,5.5,,,5.6,6.8,4.8,5.8,4.7,2.3,,,,3.8,3.7
50,Jordan,4.7,7,1.3,3.1,6.1,4,5.5,,,3.1,3.3,,4.7,6.1,5.6,,,,6.1,4.3
50,Saudi Arabia,4.7,5,2,2.3,7.3,3.3,6,,,2.3,3.3,,4.7,,,,,,5.9,7.3
53,Czech Republic,4.6,8,0.9,3.3,5.8,4.1,5.1,,,5.2,5.1,5.1,5.8,4.7,4,,,,3.8,3.3
54,Kuwait,4.5,5,1.8,2.7,7.4,3.3,5.9,,,2.7,3.3,,7.4,,,,,,4.4,4.5
54,South Africa,4.5,8,0.6,3.4,5.1,4.1,4.8,,4.8,3.9,5.1,,3.4,4.7,4.5,,,,5.1,4.4
56,Malaysia,4.4,9,0.9,3.3,6.3,3.9,4.9,,,4.5,3.3,,3.4,5.2,6.3,3.6,4.6,,4.5,4.6
56,Namibia,4.4,6,0.8,3.3,5.1,3.9,4.9,,3.7,4.9,3.3,,4.7,,,,,,5.1,5.1
56,Turkey,4.4,7,0.7,3.3,5.2,4,4.8,,,4.5,3.3,,4.7,5.2,5.2,,,,4.4,3.9
59,Latvia,4.3,6,0.8,3.4,5.1,3.7,4.8,,,4.9,5.1,5.1,3.4,,,,,,3.6,3.6
59,Slovakia,4.3,8,1,3.1,5.8,3.8,4.9,,,5.2,5.1,4.5,5.8,3.8,3.6,,,,3.4,3.1
59,Tunisia,4.3,6,2,2.3,6.6,3,5.6,,2.5,2.3,3.3,,4.7,,,,,,6.6,6.6
62,Croatia,4.1,8,0.8,3.4,5.2,3.7,4.5,,,5.2,5.1,3.8,4.7,3.6,3.7,,,,3.4,3.4
62,FYR Macedonia,4.1,5,0.5,3.3,4.7,3.7,4.5,,,4.5,3.3,4,,,,,,,4.7,4.3
62,Ghana,4.1,7,1,2.7,5.1,3.4,4.7,,4.8,3.9,5.1,,4.7,,,,,4.7,2.7,2.7
62,Samoa,4.1,3,0.7,3.4,4.7,3.4,4.7,4,,,,,3.4,,,,,4.7,,
66,Rwanda,4,5,1.6,3,6.7,3.2,5.1,,3,3.5,,,3.4,,,,,3.3,,6.7
67,Italy,3.9,6,0.7,3.3,5.1,3.5,4.4,,,,3.3,,3.4,5.1,4.6,,,,3.6,3.8
68,Georgia,3.8,7,1.4,2.1,5.7,3,4.7,2.9,,4.9,,3.3,2.1,,,,,2.7,5.2,5.7
69,Brazil,3.7,7,0.9,2.7,5.6,3.2,4.3,,,5.6,3.3,,3.4,3.6,2.7,,,,3.3,3.9
69,Cuba,3.7,3,1.3,2.6,5.1,2.6,5.1,,,3.5,5.1,,2.6,,,,,,,
69,Montenegro,3.7,5,0.8,2.6,4.5,3.1,4.3,,,3.5,,3.3,2.6,,,,,,4.5,4.5
69,Romania,3.7,8,0.8,2.4,4.9,3.3,4.2,,,4.9,3.3,4,3.4,2.4,3.3,,,,4.7,3.8
73,Bulgaria,3.6,8,0.7,2.9,5.2,3.2,4,,,5.2,3.3,4,3.4,3.4,3.3,,,,3.2,2.9
73,El Salvador,3.6,5,0.3,3.3,3.9,3.4,3.8,,,3.9,3.3,,3.4,,,,,,3.9,3.5
73,Panama,3.6,5,0.7,3.1,4.7,3.2,4.1,,,3.1,3.3,,4.7,,,,,,3.9,3.2
73,Trinidad and Tobago,3.6,4,0.8,2.8,4.7,3,4.3,,,,3.3,,4.7,,,,,,3.6,2.8
73,Vanuatu,3.6,3,1.9,2.3,5.8,2.3,5.8,2.3,,,,,5.8,,,,,2.7,,
78,China,3.5,9,0.9,2.3,5.5,3,4,,,2.3,3.3,,2.6,2.8,3.7,5.5,3.5,,3.6,4.1
78,Colombia,3.5,7,0.8,3.1,5.2,3.2,4,,,3.1,3.3,,3.4,5.2,3.3,,,,3.1,3.3
78,Greece,3.5,6,0.6,2.9,4.5,3.1,3.9,,,,3.3,,3.4,3.8,4.5,,,,2.9,2.9
78,Lesotho,3.5,6,1.2,2.4,5.8,2.8,4.4,,3,3.5,,,5.8,,,,,3.3,2.7,2.4
78,Peru,3.5,7,0.2,3.3,3.7,3.4,3.6,,,3.5,3.3,,3.4,3.5,3.7,,,,3.5,3.7
78,Serbia,3.5,6,0.6,2.7,4.5,3.1,3.9,,,4.5,3.3,3.8,3.4,,,,,,3.3,2.7
78,Thailand,3.5,9,0.7,2.2,4.4,3.2,3.9,,,3.9,3.3,,3.4,4.4,4.4,2.2,3.3,,3.5,3.3
85,Malawi,3.4,7,0.9,2.1,4.9,2.8,3.9,,3,3.9,3.3,,2.1,,,,,2.7,4.9,3.7
85,Morocco,3.4,6,0.8,2.3,4.7,2.9,3.9,,3,2.3,3.3,,4.7,,,,,,3.4,3.7
87,Albania,3.3,6,0.5,2.6,4.1,3,3.6,,,3.1,3.3,3.3,2.6,,,,,,3.6,4.1
87,India,3.3,10,0.4,2.6,3.9,3,3.5,,,3.9,3.3,,2.6,3.5,3.7,2.6,3.4,3.3,3.3,3
87,Jamaica,3.3,5,0.3,2.7,3.5,3,3.4,,,2.7,3.3,,3.4,,,,,,3.4,3.5
87,Liberia,3.3,4,0.8,2.6,4.3,2.7,3.9,,4.3,3.5,,,2.6,,,,,2.7,,
91,Bosnia and Herzegovina,3.2,7,0.6,2.3,3.9,2.8,3.5,,,3.9,3.3,3.8,3.4,,,,,2.7,2.3,2.9
91,Djibouti,3.2,3,1.3,2.1,4.7,2.1,4.7,,3,,,,4.7,,,,,2.1,,
91,Gambia,3.2,5,1.7,1.7,5,1.9,4.4,,1.7,,,,2.6,,,,,1.7,4.9,5
91,Guatemala,3.2,5,0.3,2.6,3.5,3,3.4,,,3.5,3.3,,2.6,,,,,,3.4,3.4
91,Kiribati,3.2,3,1.3,2.3,4.7,2.3,4.7,2.3,,,,,4.7,,,,,2.7,,
91,Sri Lanka,3.2,7,0.6,2.3,4.1,2.9,3.6,2.3,,3.1,3.3,,3.4,,,,,2.7,3.8,4.1
91,Swaziland,3.2,4,0.2,3,3.4,3.1,3.4,,3,,3.3,,3.4,,,,,,,3.4
98,Burkina Faso,3.1,6,1,1.9,4.8,2.4,3.8,,4.8,1.9,,,3.4,,,,,3.3,2.6,2.4
98,Egypt,3.1,6,0.4,2.5,3.5,2.9,3.4,,2.5,2.7,3.3,,3.4,,,,,,3.5,3.5
98,Mexico,3.1,7,0.3,2.7,3.6,2.9,3.3,,,3.1,3.3,,3.4,3.6,2.8,,,,3.2,2.7
101,Dominican Republic,3,5,0.4,2.5,3.4,2.7,3.2,,,2.7,3.3,,3.4,,,,,,3,2.5
101,Sao Tome and Principe,3,3,0.3,2.6,3.3,2.6,3.3,,3,,,,2.6,,,,,3.3,,
101,Tonga,3,3,0.3,2.6,3.3,2.6,3.3,2.9,,,,,2.6,,,,,3.3,,
101,Zambia,3,7,0.5,2.1,3.7,2.7,3.3,,3.7,3.1,3.3,,2.1,,,,,2.7,3.5,2.8
105,Algeria,2.9,6,0.4,2.3,3.4,2.6,3.2,,3,2.3,3.3,,3.4,,,,,,2.5,3.2
105,Argentina,2.9,7,0.5,2.4,3.6,2.6,3.2,,,3.5,3.3,,2.6,2.5,3.6,,,,2.5,2.4
105,Kazakhstan,2.9,8,1.3,1.4,5.1,2.2,3.7,,,2.7,1.9,2,1.4,4.7,5.1,,,,2.9,2.6
105,Moldova,2.9,6,0.4,2.4,3.4,2.7,3.2,,,3.1,3.3,2.4,3.4,,,,,2.7,,2.6
105,Senegal,2.9,7,0.4,2.1,3.4,2.6,3.1,,3,2.7,3.3,,2.1,,,,,2.7,3.1,3.4
110,Benin,2.8,6,0.8,1.7,3.7,2.3,3.3,,3.7,3.5,,,2.6,,,,,3.3,2.2,1.7
110,Bolivia,2.8,6,0.5,2.1,3.3,2.5,3.1,,,3.1,3.3,,2.6,,,,,3.3,2.1,2.4
110,Gabon,2.8,3,0.6,2.1,3.3,2.1,3.3,,3,,3.3,,2.1,,,,,,,
110,Indonesia,2.8,9,0.8,1.6,4,2.3,3.2,,,3.5,1.9,,2.6,3.4,4,1.6,1.9,,3,3
110,Kosovo,2.8,3,0.2,2.7,3.1,2.7,3.1,,,3.1,,2.7,,,,,,2.7,,
110,Solomon Islands,2.8,3,0.5,2.3,3.4,2.3,3.4,2.3,,,,,3.4,,,,,2.7,,
116,Ethiopia,2.7,7,0.4,2.1,3.3,2.4,2.9,,2.5,2.3,3.3,,2.6,,,,,2.1,2.5,3.2
116,Guyana,2.7,4,0.2,2.6,2.9,2.6,2.8,,,,,,2.6,,,,,2.7,2.6,2.9
116,Mali,2.7,6,0.8,1.5,3.4,2.2,3.2,,3,3.1,,,3.4,,,,,3.3,2.1,1.5
116,Mongolia,2.7,6,0.5,2,3.4,2.4,3,2.9,,2.7,,,3.4,,,,,2.7,2,2.4
116,Mozambique,2.7,7,0.5,2,3.3,2.4,3,,2,2.3,3.3,,2.6,,,,,2.7,2.8,3.3
116,Tanzania,2.7,7,0.5,2.1,3.3,2.4,2.9,,3,3.1,3.3,,2.1,,,,,2.7,2.5,2.1
116,Vietnam,2.7,9,0.7,1.9,4,2.4,3.1,4,,2.3,1.9,,2.1,,,3.4,2.7,2.7,2.7,2.6
123,Armenia,2.6,7,0.2,2.3,2.9,2.5,2.8,2.3,,2.3,,2.9,2.6,,,,,2.7,2.9,2.7
123,Eritrea,2.6,4,1.4,1.7,4.7,1.7,3.7,,1.7,2.3,,,4.7,,,,,1.7,,
123,Madagascar,2.6,6,0.5,2,3.5,2.2,2.9,,2,3.5,,,2.6,,,,,2.1,2.6,2.5
123,Niger,2.6,4,0.4,2.1,3.1,2.3,2.9,,2.5,3.1,,,2.6,,,,,2.1,,
127,Belarus,2.5,3,0.5,2.1,3.1,2.1,3.1,,,3.1,,2.4,2.1,,,,,,,
127,Ecuador,2.5,5,0.4,1.9,2.8,2.2,2.7,,,2.7,1.9,,2.6,,,,,,2.4,2.8
127,Lebanon,2.5,4,0.6,1.9,3.3,2,2.9,,,1.9,3.3,,2.6,,,,,,,2.1
127,Nicaragua,2.5,6,0.4,1.9,2.8,2.2,2.7,,,2.7,1.9,,2.1,,,,,2.7,2.8,2.5
127,Syria,2.5,5,0.6,1.8,3.3,2.1,2.8,,,1.8,3.3,,2.6,,,,,,2.4,2.2
127,Timor-Leste,2.5,5,0.6,1.7,3.1,2.1,2.8,1.7,,,,,2.1,,,,,2.7,2.7,3.1
127,Uganda,2.5,7,0.6,1.9,3.5,2.1,2.9,,2.5,3.5,3.3,,2.1,,,,,2.1,1.9,2.2
134,Azerbaijan,2.4,7,0.5,2,3.3,2.1,2.7,,,2.3,3.3,2,2.1,,,,,2.1,2.9,2.3
134,Bangladesh,2.4,7,0.9,1.5,4,1.9,3,4,,3.1,1.9,,2.1,,,,,2.7,1.5,1.8
134,Honduras,2.4,6,0.4,1.9,3,2.2,2.7,,,2.3,1.9,,2.1,,,,,2.7,3,2.6
134,Nigeria,2.4,7,0.4,2,3.3,2.2,2.7,,2.5,2.3,3.3,,2.1,,,,,2.7,2,2.1
134,Philippines,2.4,9,0.5,1.8,3.4,2.1,2.7,,,2.7,1.9,,2.6,2.1,1.8,3.4,2.7,,2,2.4
134,Sierra Leone,2.4,5,0.4,1.9,2.7,2.1,2.6,,2.5,2.7,1.9,,2.1,,,,,2.7,,
134,Togo,2.4,4,0.7,1.7,3.4,1.8,3,,2.5,1.9,,,3.4,,,,,1.7,,
134,Ukraine,2.4,8,0.5,1.8,3.1,2.1,2.6,,,3.1,1.9,2.7,2.6,1.8,2.6,,,,1.8,2.3
134,Zimbabwe,2.4,7,1,1.3,3.5,1.8,3,,1.4,1.5,3.3,,2.1,,,,,1.3,3.3,3.5
143,Maldives,2.3,3,0.5,1.7,2.7,1.7,2.7,1.7,,,,,2.6,,,,,2.7,,
143,Mauritania,2.3,6,0.6,1.7,3.4,1.9,2.7,,2,1.9,,,3.4,,,,,2.1,2.5,1.7
143,Pakistan,2.3,7,0.5,1.8,3.3,2.1,2.6,2.3,,1.8,3.3,,2.1,,,,,2.1,2.5,2.4
146,Cameroon,2.2,7,0.4,1.9,3,2,2.4,,3,2.3,1.9,,2.1,,,,,2.1,1.9,2.1
146,Côte d´Ivoire,2.2,7,0.5,1.8,3.3,1.9,2.5,,2.5,1.8,3.3,,2.1,,,,,2.1,1.8,1.8
146,Haiti,2.2,3,0.1,2.1,2.3,2.1,2.3,,,2.3,,,2.1,,,,,2.1,,
146,Iran,2.2,4,1,1.4,3.7,1.6,3.1,,,1.8,1.9,,1.4,,,,,,,3.7
146,Libya,2.2,6,0.3,1.9,2.6,2,2.4,,2,2.3,1.9,,2.6,,,,,,2.5,1.9
146,Nepal,2.2,6,0.5,1.8,2.9,1.9,2.5,2.9,,1.9,,,2.1,,,,,2.7,1.8,2
146,Paraguay,2.2,5,0.5,1.7,2.7,1.9,2.5,,,2.7,1.9,,2.6,,,,,,1.7,2.1
146,Yemen,2.2,4,0.3,1.9,2.7,2,2.5,,,2.3,1.9,,2.1,,,,,2.7,,
154,Cambodia,2.1,9,0.3,1.5,2.5,1.9,2.2,2.3,,1.5,1.9,,2.1,,,2.5,2.3,1.7,2.2,1.9
154,Central African Republic,2.1,4,0.2,1.9,2.5,2,2.3,,2.5,1.9,,,2.1,,,,,2.1,,
154,Comoros,2.1,3,0.5,1.7,2.6,1.7,2.6,,1.7,,,,2.6,,,,,2.1,,
154,Congo-Brazzaville,2.1,5,0.3,1.8,2.5,1.9,2.3,,2.5,1.8,1.9,,2.1,,,,,2.1,,
154,Guinea-Bissau,2.1,3,0,2,2.1,2,2.1,,2,,,,2.1,,,,,2.1,,
154,Kenya,2.1,7,0.3,1.8,2.7,2,2.3,,2.5,1.9,1.9,,2.1,,,,,2.7,1.8,2.1
154,Laos,2.1,4,0.6,1.5,2.9,1.6,2.6,2.9,,1.5,,,2.1,,,,,1.7,,
154,Papua New Guinea,2.1,5,0.5,1.4,2.7,1.8,2.5,2.3,,2.3,1.9,,1.4,,,,,2.7,,
154,Russia,2.1,8,0.4,1.4,2.6,1.9,2.3,,,2.3,1.9,2,1.4,2,2.1,,,,2.4,2.6
154,Tajikistan,2.1,7,0.7,1.4,3.3,1.7,2.5,1.7,,1.5,,2.2,1.4,,,,,1.7,3.3,2.7
164,Democratic Republic of Congo,2,4,0.3,1.7,2.5,1.7,2.3,,2.5,1.8,,,2.1,,,,,1.7,,
164,Guinea,2,5,0.3,1.7,2.5,1.8,2.2,,2.5,1.8,1.9,,2.1,,,,,1.7,,
164,Kyrgyzstan,2,7,0.3,1.6,2.6,1.8,2.3,2.3,,1.8,,2,2.6,,,,,2.1,1.6,1.9
164,Venezuela,2,7,0.2,1.5,2.3,1.8,2.1,,,1.5,1.9,,2.1,2.2,2,,,,1.9,2.3
168,Angola,1.9,6,0.2,1.7,2.2,1.8,2,,1.7,1.9,1.9,,1.7,,,,,2.1,,2.2
168,Equatorial Guinea,1.9,3,0.2,1.7,2.1,1.7,2.1,,1.7,,1.9,,2.1,,,,,,,
170,Burundi,1.8,6,0.3,1.4,2.3,1.6,2,,1.7,2.3,,,1.4,,,,,1.7,1.7,2
171,Chad,1.7,6,0.2,1.5,2.1,1.6,1.9,,1.7,1.5,,,2.1,,,,,1.7,1.7,1.7
172,Sudan,1.6,5,0.4,1.2,2.1,1.4,1.9,,1.7,1.2,1.9,,2.1,,,,,1.3,,
172,Turkmenistan,1.6,3,0.2,1.4,1.8,1.4,1.8,,,1.8,,1.6,1.4,,,,,,,
172,Uzbekistan,1.6,6,0.2,1.3,1.9,1.5,1.7,1.7,,1.5,1.9,1.6,1.4,,,,,1.3,,
175,Iraq,1.5,3,0.4,1.2,1.9,1.2,1.9,,,1.2,1.9,,1.4,,,,,,,
176,Afghanistan,1.4,4,0.3,1.1,1.7,1.2,1.6,1.1,,1.2,,,1.4,,,,,1.7,,
176,Myanmar,1.4,3,0.5,0.9,1.9,0.9,1.9,,,0.9,1.9,,1.4,,,,,,,
178,Somalia,1.1,3,0.3,0.9,1.4,0.9,1.4,,0.9,0.9,,,1.4,,,,,,,
